Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Wilkerman Garcia,Yankees ,A,21,19,82,86,22,13,6,0,3,13,13,2,1,20,1,1,0,0,3,1,0.268292682,sa872548,SS
2019,Wilkerman Garcia,Yankees ,A+,21,17,61,66,16,15,1,0,0,6,3,3,0,17,0,1,1,1,1,2,0.262295081,sa872548,SS
2019,Daniel Brito,Phillies ,A+,21,81,266,297,66,51,10,1,4,33,26,19,0,58,6,4,2,4,5,8,0.2481203,sa872732,SS
2019,Miguelangel Sierra,Astros ,A+,21,83,273,305,57,42,6,1,8,31,30,27,1,105,4,1,0,7,2,3,0.208791208,sa872750,SS
2019,Vidal Brujan,Rays ,A+,21,44,176,196,51,39,8,3,1,28,15,17,1,26,2,1,0,6,24,5,0.289772727,sa872786,SS
2019,Diego Castillo,Yankees ,A+,21,88,324,356,78,60,14,2,2,40,19,27,0,41,3,1,1,9,9,3,0.24074074,sa872839,SS
2019,Imeldo Diaz,Cardinals ,A+,21,23,77,82,27,22,5,0,0,12,9,5,0,15,0,0,0,2,1,3,0.35064935,sa872851,SS
2019,Zack Short,Cubs ,AAA,24,26,84,100,20,12,4,0,4,18,10,11,0,26,4,1,0,1,1,0,0.238095238,sa873287,SS
2019,Johnny Adams,Mariners ,A+,24,95,325,365,62,45,9,2,6,31,30,29,0,103,4,1,6,7,5,2,0.19076923,sa873596,SS
2019,Connor Justus,Angels ,AA,24,91,270,313,53,37,14,0,2,30,20,30,0,71,11,1,1,1,7,3,0.196296296,sa873634,SS
2019,C.J. Chatham,Red Sox ,AA,24,79,306,329,91,67,22,0,2,35,29,15,1,57,3,4,1,8,4,1,0.29738562,sa873984,SS
2019,Stephen Alemais,Pirates ,AA,24,12,45,46,12,12,0,0,0,4,2,1,0,9,0,0,0,1,2,0,0.266666666,sa874070,SS
2019,Sean Miller,Orioles ,AA,24,18,54,56,5,5,0,0,0,5,1,1,0,20,0,0,1,1,0,0,0.092592592,sa875243,SS
2019,Sean Miller,Orioles ,A+,24,68,231,252,65,51,12,2,0,18,13,11,0,47,1,4,5,6,0,1,0.281385281,sa875243,SS
2019,Luke Wakamatsu,Indians ,A+,22,75,243,271,35,19,11,1,4,24,15,25,0,90,0,0,3,2,7,0,0.144032921,sa875259,SS
2019,Danny Mendick,White Sox ,AAA,25,103,372,437,103,68,20,1,14,60,54,52,0,73,5,5,3,19,17,7,0.27688172,sa875320,SS
2019,Yeltsin Encarnacion,Twins ,A,21,74,264,295,67,57,4,4,2,27,22,25,0,56,2,3,1,3,6,8,0.253787878,sa875336,SS
2019,Peter Van Gansen,Padres ,AAA,25,30,77,83,17,11,3,0,3,8,7,5,0,21,0,0,1,2,0,0,0.22077922,sa875579,SS
2019,Peter Van Gansen,Padres ,AA,25,42,144,162,40,26,6,1,7,23,19,14,0,37,0,1,3,0,0,0,0.277777777,sa875579,SS
2019,Chad De La Guerra,Red Sox ,AAA,26,53,197,221,60,32,16,1,11,32,35,21,0,58,2,0,1,0,1,1,0.304568527,sa875729,SS
2019,Scott Burcham,Rockies ,AA,26,57,164,186,33,22,9,0,2,22,16,19,0,52,2,0,1,2,4,2,0.201219512,sa875782,SS
2019,Delvin Zinn,Cubs ,A+,22,25,92,105,22,17,5,0,0,12,8,5,0,13,4,2,2,0,7,3,0.239130434,sa875884,SS
2019,Andrew Guillotte,Blue Jays ,AAA,26,25,82,88,13,10,2,1,0,7,3,4,0,28,1,0,1,0,3,0,0.158536585,sa876089,SS
2019,Nick Maton,Phillies ,A+,22,88,321,365,90,68,14,3,5,34,44,38,0,66,3,2,1,1,11,6,0.280373831,sa876186,SS
