Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Dustin Fowler,Athletics (AAA),24,99,422,459,118,71,19,6,22,77,77,29,1,107,6,2,0,4,9,3,0.279620853,17098,OF
2019,Yasmany Tomas,Diamondbacks (AAA),28,98,390,413,119,64,23,3,29,62,80,20,1,102,2,1,0,14,2,0,0.305128205,17171,OF
2019,Taylor Ward,Angels (AAA),25,82,327,394,102,50,29,0,23,80,59,58,1,79,7,1,0,6,8,5,0.311926605,17548,OF
2019,Myles Straw,Astros (AAA),24,46,190,217,55,47,5,2,1,31,18,24,0,42,1,2,0,3,16,2,0.289473684,17620,OF
2019,JT Riddle,Marlins (AAA),27,30,115,125,28,13,10,1,4,21,19,6,1,20,1,2,1,2,3,0,0.24347826,17642,OF
2019,Kevin Newman,Pirates (AAA),25,8,30,35,7,5,2,0,0,5,1,5,0,7,0,0,0,0,0,1,0.233333333,17696,OF
2019,Matt Beaty,Dodgers (AAA),26,31,119,133,36,25,7,1,3,16,17,10,0,12,4,0,0,3,0,0,0.302521008,17710,OF
2019,Steven Duggar,Giants (AAA),25,22,79,97,26,16,6,1,3,23,13,17,0,20,1,0,0,1,2,2,0.329113924,17719,OF
2019,Skye Bolt,Athletics (AAA),25,70,245,277,75,45,18,3,9,51,55,27,0,64,2,2,1,5,6,4,0.306122448,17723,OF
2019,Chris Shaw,Giants (AAA),25,48,188,207,58,31,13,1,13,37,48,14,0,54,4,1,0,2,0,0,0.308510638,17738,OF
2019,Chris Shaw,Giants (AA),25,45,160,182,46,28,9,2,7,25,24,19,1,33,2,1,0,1,2,2,0.2875,17738,OF
2019,DJ Stewart,Orioles (AAA),25,59,215,258,61,30,17,2,12,39,46,36,0,45,3,3,1,5,5,2,0.28372093,17766,OF
2019,Braden Bishop,Mariners (AAA),25,38,164,188,48,28,13,0,7,24,29,21,0,38,2,1,0,1,2,2,0.292682926,17806,OF
2019,Drew Jackson,Dodgers (AAA),25,62,203,239,47,33,8,1,5,36,22,29,0,74,5,1,1,2,8,4,0.231527093,17807,OF
2019,Willie Calhoun,Rangers (AAA),24,40,137,170,41,25,8,0,8,23,28,31,0,24,1,0,1,4,1,1,0.299270072,17838,OF
2019,Ian Happ,Cubs (AAA),24,99,359,429,87,52,18,1,16,66,53,65,0,113,4,1,0,0,9,2,0.242339832,17919,OF
2019,Cedric Mullins,Orioles (AA),24,20,76,87,18,12,5,0,1,11,9,9,1,15,0,2,0,2,9,1,0.236842105,17929,OF
2019,Cedric Mullins,Orioles (AAA),24,66,268,306,55,40,8,2,5,40,24,25,0,51,1,4,6,4,13,4,0.20522388,17929,OF
2019,Andrew Stevenson,Nationals (AAA),25,73,302,333,101,70,17,8,6,50,44,24,0,76,1,2,4,8,10,4,0.334437086,17932,OF
2019,Kyle Garlick,Dodgers (AAA),27,61,205,232,65,25,19,2,19,43,46,20,1,61,6,1,0,9,2,1,0.31707317,18063,OF
2019,LaMonte Wade Jr,Twins (AAA),25,77,264,334,65,47,12,1,5,47,24,56,0,48,9,3,2,8,7,2,0.246212121,18126,OF
2019,Kevin Kaczmarski,Mets (AA),27,45,137,160,33,25,6,0,2,13,17,20,1,39,1,1,1,2,4,3,0.240875912,18146,OF
2019,Austin Dean,Marlins (AAA),25,56,183,212,64,36,14,1,13,38,45,27,0,34,0,2,0,3,4,3,0.349726775,18288,OF
2019,Kyle Tucker,Astros (AAA),22,97,361,413,94,43,21,3,27,69,76,43,1,99,5,2,0,5,23,2,0.260387811,18345,OF
2019,Josh Naylor,Padres (AAA),22,53,219,247,69,38,20,1,10,50,42,27,1,29,0,1,0,6,1,0,0.315068493,18839,OF
2019,Lourdes Gurriel Jr.,Blue Jays (AAA),25,31,123,130,34,17,13,0,4,18,26,3,0,23,3,1,0,4,0,2,0.276422764,19238,OF
2019,Adolis Garcia,Cardinals (AAA),26,104,404,432,96,52,16,5,23,69,74,13,0,133,12,2,1,3,11,8,0.237623762,19287,OF
2019,Nick Senzel,Reds (AAA),24,8,35,38,9,7,1,0,1,7,2,3,0,13,0,0,0,0,0,0,0.257142857,19293,OF
2019,Bryan Reynolds,Pirates (AAA),24,13,49,57,18,11,1,1,5,10,11,7,0,11,0,0,0,1,3,2,0.367346938,19326,OF
2019,Austin Hays,Orioles (AA),23,14,56,61,15,7,5,0,3,9,11,5,0,11,0,0,0,3,3,1,0.267857142,19363,OF
2019,Austin Hays,Orioles (A+),23,9,37,40,6,4,0,0,2,3,6,1,0,11,1,1,0,0,0,0,0.162162162,19363,OF
2019,Austin Hays,Orioles (AAA),23,29,121,129,30,12,13,0,5,21,16,6,0,32,2,0,0,4,0,0,0.247933884,19363,OF
2019,Yordan Alvarez,Astros (AAA),22,56,213,253,73,34,16,0,23,50,71,38,11,50,1,1,0,5,2,1,0.342723004,19556,OF
2019,Adam Haseley,Phillies (AA),23,44,165,190,44,26,8,2,8,30,21,21,1,35,2,2,0,4,4,2,0.266666666,19878,OF
2019,Adam Haseley,Phillies (AAA),23,18,68,78,20,12,6,0,2,8,9,8,1,14,1,0,1,1,1,1,0.294117647,19878,OF
2019,Chris Parmelee,Dodgers (AA),31,60,180,222,42,25,7,1,9,27,33,39,2,60,1,2,0,1,0,0,0.233333333,2554,OF
2019,Brandon Guyer,White Sox (AAA),33,16,41,49,10,6,3,1,0,10,6,5,0,10,3,0,0,0,0,0,0.243902439,2636,OF
2019,Travis Snider,Diamondbacks (AAA),31,93,310,368,91,54,22,4,11,45,41,56,1,84,1,1,0,3,3,2,0.293548387,2830,OF
2019,Gregor Blanco,Mets (AAA),35,90,272,319,63,41,10,3,9,46,26,39,1,71,2,3,3,4,9,7,0.231617647,3123,OF
2019,Alejandro De Aza,Twins (AAA),35,13,46,55,14,10,2,0,2,11,7,7,0,14,1,1,0,0,1,0,0.304347826,3371,OF
2019,Rajai Davis,Mets (AAA),38,75,272,297,78,62,6,3,7,40,20,17,0,66,5,1,2,1,17,6,0.286764705,3708,OF
2019,Emilio Bonifacio,Rays (AAA),34,52,168,181,49,32,11,1,5,30,20,9,0,41,2,0,2,0,10,2,0.291666666,4054,OF
2019,Gorkys Hernandez,Red Sox (AAA),31,99,345,409,76,49,10,1,16,64,48,55,0,112,3,4,2,5,18,5,0.220289855,4146,OF
2019,Shane Robinson,Phillies (AAA),34,63,232,266,65,52,7,0,6,39,23,26,0,25,2,4,2,8,6,3,0.280172413,4249,OF
2019,Ben Revere,Blue Jays (AAA),31,8,35,35,10,7,3,0,0,4,6,0,0,3,0,0,0,2,1,0,0.285714285,4712,OF
2019,Rymer Liriano,Mets (AAA),28,56,147,174,31,19,6,0,6,21,20,22,1,65,2,2,1,6,5,2,0.210884353,4779,OF
2019,Carlos Gomez,Mets (AAA),33,35,126,140,34,18,9,1,6,16,22,8,0,29,4,2,0,1,5,5,0.269841269,4881,OF
2019,Ender Inciarte,Braves (AAA),28,6,26,30,6,5,1,0,0,5,1,4,0,3,0,0,0,0,0,1,0.23076923,4922,OF
2019,Cameron Maybin,Indians (AAA),32,14,51,67,11,8,3,0,0,4,5,13,0,20,2,1,0,1,1,2,0.215686274,5223,OF
2019,Jon Jay,White Sox (AAA),34,13,53,55,19,17,2,0,0,8,6,2,0,10,0,0,0,2,1,0,0.358490566,5227,OF
2019,Isaac Galloway,Marlins (AAA),29,32,103,108,23,11,5,0,7,19,16,2,0,41,2,0,1,1,3,1,0.22330097,5238,OF
2019,Kristopher Negron,Mariners (AAA),33,82,306,356,95,64,15,4,12,62,61,41,0,91,5,4,0,6,11,3,0.310457516,5306,OF
2019,Jake Smolinski,Rays (AAA),30,67,248,286,67,35,18,2,12,38,46,29,0,58,7,2,0,4,9,2,0.27016129,5408,OF
2019,Jose Pirela,Padres (AAA),29,55,221,242,78,45,13,2,18,50,59,17,2,51,2,2,0,2,0,1,0.352941176,5485,OF
2019,Abraham Almonte,Diamondbacks (AAA),30,79,273,331,73,25,30,4,14,65,49,55,0,59,0,3,0,3,12,3,0.267399267,5486,OF
