last_name,first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Galvis,Freddy,520471,141,TOR,SS,30,46,,25.5
Franco,Maikel,596748,143,PHI,3B,27,57,4.84,25.4
Lucroy,Jonathan,518960,108,LAA,C,33,40,4.63,25.4
Gallagher,Cam,595956,118,KC,C,27,15,,25.4
Walker,Neil,435522,146,MIA,1B,34,37,4.57,25.4
Smith,Dominic,642086,121,NYM,1B,24,18,,25.4
France,Ty,664034,135,SD,3B,25,13,,25.4
Kemp,Matt,461314,113,CIN,LF,35,22,4.68,25.4
Vazquez,Christian,543877,111,BOS,C,29,35,4.47,25.4
Rizzo,Anthony,519203,112,CHC,1B,30,52,4.63,25.4
Solarte,Yangervis,500208,137,SF,2B,32,37,4.73,25.4
Cozart,Zack,446359,108,LAA,3B,34,16,4.68,25.3
Romine,Austin,519222,147,NYY,C,31,21,4.62,25.3
Freese,David,501896,119,LAD,1B,36,28,4.58,25.3
Hundley,Nick,460026,133,OAK,C,36,20,,25.3
Murphy,Daniel,502517,115,COL,1B,34,26,,25.3
Cervelli,Francisco,465041,134,PIT,C,33,32,4.65,25.2
Kendrick,Howie,435062,120,WSH,3B,36,37,,25.2
Votto,Joey,458015,113,CIN,1B,36,43,,25.1
Cabrera,Asdrubal,452678,140,TEX,3B,34,34,,25.1
Flowers,Tyler,452095,144,ATL,C,33,17,,25.1
Reynolds,Mark,448602,115,COL,1B,36,17,,25.1
Panik,Joe,605412,137,SF,2B,29,49,4.71,25
Moustakas,Mike,519058,158,MIL,2B,31,38,,25
Tellez,Rowdy,642133,141,TOR,DH,24,29,4.85,25
Choi,Ji-Man,596847,139,TB,1B,28,47,4.51,25
Castro,Harold,605612,116,DET,2B,26,10,,25
Adrianza,Ehire,501303,142,MIN,3B,30,20,,25
Pedroia,Dustin,456030,111,BOS,2B,36,11,,25
Prado,Martin,445988,146,MIA,1B,36,54,4.65,25
Sanchez,Gary,596142,147,NYY,C,27,13,,24.9
Pina,Manny,444489,158,MIL,C,32,10,,24.9
Perez,Michael,605421,139,TB,C,27,16,,24.9
Cano,Robinson,429664,121,NYM,2B,37,54,4.6,24.9
Santana,Carlos,467793,114,CLE,1B,33,58,4.64,24.9
Belt,Brandon,474832,137,SF,1B,31,33,,24.9
Casali,Curt,592200,113,CIN,C,31,18,,24.8
Moran,Colin,592567,134,PIT,3B,27,34,4.78,24.8
Perez,Roberto,547379,114,CLE,C,31,22,4.84,24.7
Winker,Jesse,608385,113,CIN,LF,26,47,4.66,24.7
White,Tyler,643603,117,HOU,DH,29,24,,24.7
Crawford,Brandon,543063,137,SF,SS,32,57,4.76,24.7
Cruz,Nelson,443558,142,MIN,DH,39,34,,24.6
Moreland,Mitch,519048,111,BOS,1B,34,37,4.46,24.6
